,timestamp,tag,duration,package_0,package_1,dram_0,dram_1
0,1614469646.5852084,forward,0.10739970207214355,8924599.0,9144691.0,870646.0,663974.0
1,1614469646.692608,loss,0.00128173828125,86609.0,90088.0,5631.0,3947.0
2,1614469646.6938899,backward,0.1398634910583496,11840729.0,11814118.0,1179920.0,892679.0
3,1614469646.8337533,step,0.012382030487060547,961789.0,1115475.0,78367.0,84440.0
4,1614469653.2972386,forward,0.1050710678100586,8664285.0,8813027.0,858987.0,668793.0
5,1614469653.4023097,loss,0.0012195110321044922,77697.0,79712.0,8109.0,8354.0
6,1614469653.4035292,backward,0.13973784446716309,11929291.0,11917083.0,1127488.0,903236.0
7,1614469653.543267,step,0.011949777603149414,970273.0,1030210.0,88709.0,74526.0
8,1614469659.942242,forward,0.10744929313659668,8827675.0,9123878.0,834599.0,705085.0
9,1614469660.0496912,loss,0.0013234615325927734,92651.0,78491.0,9823.0,9761.0
10,1614469660.0510147,backward,0.13815593719482422,11781586.0,11749115.0,1137830.0,908208.0
11,1614469660.1891706,step,0.011682987213134766,886534.0,1014219.0,74052.0,75858.0
12,1614469666.6333175,forward,0.11431312561035156,9327124.0,9729834.0,913379.0,731754.0
13,1614469666.7476306,loss,0.0018110275268554688,163574.0,171569.0,7864.0,11291.0
14,1614469666.7494416,backward,0.13898158073425293,11865631.0,11900910.0,1184541.0,873798.0
15,1614469666.8884232,step,0.012046337127685547,968687.0,946531.0,84258.0,77281.0
16,1614469673.2324142,forward,0.10424518585205078,8630532.0,8863685.0,846764.0,658895.0
17,1614469673.3366594,loss,0.0013155937194824219,94177.0,84046.0,3457.0,5324.0
18,1614469673.337975,backward,0.1371011734008789,11687531.0,11728424.0,1150361.0,902272.0
19,1614469673.4750762,step,0.011773347854614258,894834.0,932554.0,92933.0,66524.0
20,1614469679.8556943,forward,0.6187331676483154,46264103.0,52622058.0,4425403.0,3930907.0
21,1614469680.4744275,loss,0.042877912521362305,3373221.0,3669729.0,300079.0,265929.0
22,1614469680.5173054,backward,0.21372532844543457,17694168.0,18164382.0,1721311.0,1330427.0
23,1614469680.7310307,step,0.021003007888793945,1670040.0,1805599.0,147079.0,136047.0
24,1614469687.2013197,forward,0.10126495361328125,8373026.0,8628579.0,768091.0,630697.0
25,1614469687.3025846,loss,0.0013020038604736328,81298.0,78552.0,6793.0,3901.0
26,1614469687.3038867,backward,0.1371779441833496,11715180.0,11700593.0,1115921.0,864175.0
27,1614469687.4410646,step,0.011210918426513672,889341.0,954893.0,81166.0,80585.0
28,1614469693.871654,forward,0.10027718544006348,8341531.0,8520669.0,820402.0,671991.0
29,1614469693.9719312,loss,0.001283407211303711,78736.0,71045.0,8629.0,4498.0
30,1614469693.9732146,backward,0.1418914794921875,12100982.0,12173247.0,1207812.0,918628.0
31,1614469694.115106,step,0.010898828506469727,802183.0,944883.0,77770.0,80218.0
32,1614469700.4582438,forward,0.10296225547790527,8491494.0,8753945.0,794544.0,648521.0
33,1614469700.561206,loss,0.001287698745727539,88440.0,83923.0,9333.0,3978.0
34,1614469700.5624938,backward,0.13650965690612793,11618195.0,11641511.0,1122821.0,878786.0
35,1614469700.6990035,step,0.01072239875793457,885191.0,937803.0,77342.0,67335.0
36,1614469707.0355988,forward,0.10029101371765137,8330300.0,8524088.0,807794.0,633604.0
37,1614469707.1358898,loss,0.0012710094451904297,77942.0,88378.0,6671.0,6763.0
38,1614469707.1371608,backward,0.14066147804260254,11936188.0,12072479.0,1147240.0,912920.0
39,1614469707.2778223,step,0.010530948638916016,890256.0,862669.0,72292.0,61797.0
40,1614469713.5878556,forward,0.1019144058227539,8405680.0,8762367.0,815919.0,669313.0
41,1614469713.68977,loss,0.0012633800506591797,79589.0,76477.0,9792.0,9425.0
42,1614469713.6910334,backward,0.13808703422546387,11738984.0,11727143.0,1146505.0,894362.0
43,1614469713.8291204,step,0.010514020919799805,813535.0,944639.0,73838.0,71558.0
44,1614469720.2612102,forward,0.12291574478149414,9956395.0,10412877.0,965904.0,792433.0
45,1614469720.384126,loss,0.0071926116943359375,551818.0,588438.0,59380.0,44860.0
46,1614469720.3913186,backward,0.14814257621765137,12620390.0,12688810.0,1202243.0,947223.0
47,1614469720.5394611,step,0.013823747634887695,1127255.0,1195066.0,100001.0,97384.0
48,1614469726.9641333,forward,0.12043166160583496,9859715.0,10266820.0,1003481.0,784615.0
49,1614469727.084565,loss,0.0012826919555664062,78980.0,90392.0,8935.0,4008.0
50,1614469727.0858476,backward,0.1395432949066162,11871612.0,11805024.0,1151555.0,915644.0
51,1614469727.225391,step,0.01047205924987793,802672.0,858030.0,67687.0,68850.0
52,1614469733.4000049,forward,0.10586166381835938,8812477.0,9032508.0,866348.0,683283.0
53,1614469733.5058665,loss,0.0013270378112792969,80505.0,75562.0,9562.0,5324.0
54,1614469733.5071936,backward,0.13764691352844238,11728547.0,11754974.0,1146077.0,866439.0
55,1614469733.6448405,step,0.010396242141723633,886900.0,856138.0,73012.0,59456.0
56,1614469739.9493392,forward,0.10063672065734863,8324442.0,8613015.0,856081.0,645186.0
57,1614469740.0499759,loss,0.0013031959533691406,172790.0,96923.0,8966.0,11261.0
58,1614469740.051279,backward,0.15203428268432617,12846464.0,12869291.0,1263428.0,949717.0
59,1614469740.2033134,step,0.012346267700195312,975827.0,1014158.0,103015.0,69768.0
60,1614469746.56081,forward,0.10918450355529785,8887002.0,9245216.0,891960.0,690948.0
61,1614469746.6699946,loss,0.0012390613555908203,175902.0,80078.0,9547.0,5539.0
