,timestamp,tag,duration,package_0,dram_0,core_0,uncore_0
0,1614466715.8837395,forward,0.11641669273376465,2132746.0,304382.0,1687435.0,121154.0
1,1614466716.0001562,loss,0.0010716915130615234,13001.0,2686.0,10254.0,0.0
2,1614466716.0012279,backward,0.16220927238464355,2480767.0,405760.0,2023127.0,0.0
3,1614466716.1634371,step,0.010315895080566406,107605.0,11231.0,88012.0,0.0
4,1614466718.9114163,forward,0.11965584754943848,1876887.0,306274.0,1477779.0,60608.0
5,1614466719.0310721,loss,0.0009713172912597656,13611.0,2503.0,8850.0,0.0
6,1614466719.0320435,backward,0.16948390007019043,2425775.0,409666.0,1960078.0,0.0
7,1614466719.2015274,step,0.010450124740600586,104736.0,11536.0,86304.0,0.0
8,1614466721.9163418,forward,0.11824440956115723,1949885.0,303710.0,1482479.0,128540.0
9,1614466722.0345862,loss,0.00096893310546875,13672.0,2014.0,9399.0,0.0
10,1614466722.0355551,backward,0.16485810279846191,2334284.0,402099.0,1898433.0,0.0
11,1614466722.2004132,step,0.010022163391113281,112365.0,11902.0,85083.0,0.0
12,1614466724.9403718,forward,0.11719632148742676,1971491.0,306639.0,1510555.0,120483.0
13,1614466725.057568,loss,0.0011243820190429688,13001.0,2930.0,10559.0,0.0
14,1614466725.0586925,backward,0.16713666915893555,2366388.0,403991.0,1915096.0,0.0
15,1614466725.2258291,step,0.009717464447021484,109680.0,11352.0,83373.0,0.0
16,1614466727.9943852,forward,0.1115715503692627,1747981.0,276794.0,1435910.0,0.0
17,1614466728.1059568,loss,0.001207590103149414,12268.0,2625.0,10925.0,0.0
18,1614466728.1071644,backward,0.16050410270690918,2372492.0,397887.0,1925654.0,0.0
19,1614466728.2676685,step,0.009602546691894531,98876.0,10742.0,85022.0,0.0
20,1614466731.027117,forward,0.11054205894470215,1735530.0,273803.0,1426266.0,0.0
21,1614466731.137659,loss,0.0009281635284423828,13550.0,1770.0,8911.0,0.0
22,1614466731.1385872,backward,0.16656756401062012,2411554.0,407530.0,1963374.0,0.0
23,1614466731.3051548,step,0.009464263916015625,111999.0,12207.0,82580.0,0.0
24,1614466734.005214,forward,0.11367297172546387,1746394.0,279723.0,1430233.0,0.0
25,1614466734.118887,loss,0.0010275840759277344,12512.0,2137.0,9704.0,0.0
26,1614466734.1199145,backward,0.16470575332641602,2424982.0,401976.0,1971126.0,0.0
27,1614466734.2846203,step,0.009063243865966797,98205.0,10437.0,78124.0,0.0
28,1614466737.0188127,forward,0.11411428451538086,1768062.0,280273.0,1457271.0,0.0
29,1614466737.132927,loss,0.0009052753448486328,14099.0,1953.0,9644.0,0.0
30,1614466737.1338322,backward,0.17456459999084473,2422540.0,410216.0,1960322.0,0.0
31,1614466737.3083968,step,0.008885383605957031,102417.0,11536.0,78796.0,0.0
32,1614466740.0445833,forward,0.12192702293395996,1927851.0,314148.0,1587520.0,0.0
33,1614466740.1665103,loss,0.0010759830474853516,13245.0,2502.0,10193.0,0.0
34,1614466740.1675863,backward,0.17353534698486328,2424188.0,409362.0,1951899.0,0.0
35,1614466740.3411217,step,0.008641719818115234,94788.0,11169.0,70008.0,0.0
36,1614466743.0949306,forward,0.11224246025085449,1752498.0,277953.0,1447140.0,0.0
37,1614466743.207173,loss,0.0009183883666992188,13672.0,2075.0,8850.0,0.0
38,1614466743.2080915,backward,0.1722269058227539,2483148.0,412231.0,2019465.0,0.0
39,1614466743.3803184,step,0.00804901123046875,88745.0,10254.0,69030.0,0.0
40,1614466746.0988297,forward,0.11127829551696777,1764522.0,274291.0,1461117.0,0.0
41,1614466746.210108,loss,0.0010404586791992188,12329.0,2014.0,9766.0,0.0
42,1614466746.2111485,backward,0.1666734218597412,2448785.0,408263.0,1986139.0,0.0
43,1614466746.377822,step,0.007908344268798828,85938.0,9644.0,68116.0,0.0
44,1614466749.0959365,forward,0.11161160469055176,1764705.0,272766.0,1466426.0,0.0
45,1614466749.2075481,loss,0.0009758472442626953,13794.0,2380.0,8973.0,0.0
46,1614466749.208524,backward,0.1657567024230957,2445672.0,404662.0,1990900.0,0.0
47,1614466749.3742807,step,0.00764012336730957,89783.0,10254.0,65369.0,0.0
48,1614466752.0433762,forward,0.11083340644836426,1741939.0,274352.0,1434445.0,0.0
49,1614466752.1542096,loss,0.0011601448059082031,12695.0,2319.0,10620.0,0.0
50,1614466752.1553698,backward,0.16732525825500488,2407709.0,407775.0,1957148.0,0.0
51,1614466752.322695,step,0.007865428924560547,93139.0,8423.0,68176.0,0.0
52,1614466755.07103,forward,0.11275386810302734,1752132.0,276367.0,1440243.0,0.0
53,1614466755.1837838,loss,0.0009808540344238281,0.0,1953.0,9155.0,0.0
54,1614466755.1847646,backward,0.16779422760009766,2460809.0,403441.0,2002986.0,0.0
55,1614466755.3525589,step,0.007615089416503906,91431.0,10742.0,65978.0,0.0
56,1614466758.0364842,forward,0.11417937278747559,1756282.0,273925.0,1449703.0,0.0
57,1614466758.1506636,loss,0.0009186267852783203,13855.0,2502.0,8667.0,0.0
58,1614466758.1515822,backward,0.16165781021118164,2407464.0,398803.0,1959590.0,0.0
59,1614466758.31324,step,0.007412910461425781,80811.0,9216.0,64758.0,0.0
60,1614466761.0351524,forward,0.10873913764953613,1731380.0,269042.0,1428341.0,0.0
61,1614466761.1438916,loss,0.0009036064147949219,0.0,2076.0,9705.0,0.0
62,1614466761.1447952,backward,0.16171789169311523,2412713.0,399779.0,1961848.0,0.0
63,1614466761.306513,step,0.00754237174987793,89599.0,10559.0,65856.0,0.0
