,PUE,ISO3_COUNTRY_CODE,total_wall_clock_time,total_power,kg_carbon,carbon_cost,exp_name,exp_set
0,1,CAN,8.954398253626294,0.06951810434318365,0.0020855431302955092,-1.713832754456602e-05,sub-1473014,recon-all_run_1
0,1,CAN,7.266614806916978,0.0761629561603572,0.002284888684810716,-1.8776485661847758e-05,sub-1050772,recon-all_run_1
0,1,CAN,8.652633852230178,0.07203016193951087,0.0021609048581853257,-1.7757626161860558e-05,sub-1185456,recon-all_run_1
0,1,CAN,6.7775521347257826,0.05143945325042759,0.0015431835975128277,-1.2681390075989033e-05,sub-1088341,recon-all_run_1
0,1,CAN,7.5612072844637765,0.06660062033083963,0.001998018609925189,-1.6419078982166334e-05,sub-3754490,recon-all_run_1
0,1,CAN,7.461007941365242,0.0685312073895972,0.002055936221687916,-1.6895027422919977e-05,sub-4778114,recon-all_run_1
0,1,CAN,8.788482084472975,0.0806374202959315,0.002419122608877945,-1.9879577189823305e-05,sub-1013261,recon-all_run_1
0,1,CAN,8.02485579305225,0.07299439673745318,0.0021898319021235956,-1.7995339372730418e-05,sub-1040584,recon-all_run_1
0,1,CAN,8.326618345313602,0.06895268147701245,0.002068580444310373,-1.6998933607214224e-05,sub-3171661,recon-all_run_1
0,1,CAN,7.451080452203751,0.05197028270298047,0.0015591084810894142,-1.2812255684510853e-05,sub-1005221,recon-all_run_1
0,1,CAN,6.60340225080649,0.04281133237163286,0.001284339971148986,-1.0554295801598166e-05,sub-1032539,recon-all_run_1
0,1,CAN,6.999264690876007,0.09461689334861798,0.002838506800458539,-2.3325942569619026e-05,sub-1042997,recon-all_run_1
0,1,CAN,8.532592349449793,0.05856527605144117,0.0017569582815432352,-1.4438122172500555e-05,sub-2014383,recon-all_run_1
0,1,CAN,9.15116412944264,0.07286640396175535,0.0021859921188526607,-1.7963785259827412e-05,sub-3672652,recon-all_run_1
0,1,CAN,7.168346488873164,0.06236694915451315,0.0018710084746353945,-1.5375350243855505e-05,sub-1076471,recon-all_run_1
0,1,CAN,7.765290533105532,0.07711307903003126,0.002313392370900938,-1.9010719853097733e-05,sub-1085566,recon-all_run_1
0,1,CAN,7.87432774497403,0.06511374240839464,0.0019534122722518394,-1.6052518341676935e-05,sub-5142605,recon-all_run_1
0,1,CAN,8.197374199430147,0.06793153896879062,0.0020379461690637184,-1.6747190914559783e-05,sub-2826442,recon-all_run_1
0,1,CAN,9.627137611111005,0.08656727157527191,0.0025970181472581575,-2.1341465923356707e-05,sub-1047553,recon-all_run_1
0,1,CAN,7.959687911404504,0.06577378790109792,0.001973213637032938,-1.6215239635002484e-05,sub-1599957,recon-all_run_1
0,1,CAN,11.823876884778342,0.08583777808105339,0.002575133342431602,-2.1161623584966293e-05,sub-1000011,recon-all_run_1
0,1,CAN,8.231753420035044,0.07564745419454719,0.0022694236258364157,-1.8649398745088557e-05,sub-2810142,recon-all_run_1
0,1,CAN,8.22629044605626,0.07479359445263635,0.0022438078335790907,-1.843889634327182e-05,sub-4140526,recon-all_run_1
0,1,CAN,9.582491149173842,0.07963023001625717,0.002388906900487715,-1.9631274145949318e-05,sub-1474044,recon-all_run_1
0,1,CAN,7.762139516671499,0.08120378392408253,0.002436113517722476,-2.0019203053622232e-05,sub-1012146,recon-all_run_1
0,1,CAN,8.645661846929126,0.07710145149499151,0.0023130435448497455,-1.90078533119869e-05,sub-1110743,recon-all_run_1
0,1,CAN,8.389243613084158,0.07188027170891968,0.0021564081512675903,-1.7720673660179547e-05,sub-1011809,recon-all_run_1
0,1,CAN,8.721496845285097,0.06392340745949619,0.0019177022237848857,-1.575906456535908e-05,sub-3174352,recon-all_run_1
0,1,CAN,9.077645455797514,0.07031244845965745,0.0021093734537897236,-1.7334157534175938e-05,sub-1245278,recon-all_run_1
0,1,CAN,8.258915575875177,0.06782780345640207,0.002034834103692062,-1.672161695499751e-05,sub-1035366,recon-all_run_1
0,1,CAN,6.661569186647733,0.060270963920075395,0.001808128917602262,-1.485862612118615e-05,sub-3614538,recon-all_run_1
0,1,CAN,8.40357565138075,0.062135924895515726,0.0018640777468654716,-1.5318395735978066e-05,sub-1450654,recon-all_run_1
0,1,CAN,8.080721801982985,0.07353431011997064,0.0022060293035991193,-1.8128444446332527e-05,sub-1004436,recon-all_run_1
0,1,CAN,9.322006748318673,0.06827743551558405,0.0020483230654675215,-1.6832464935931478e-05,sub-1033401,recon-all_run_1
0,1,CAN,8.996485887500976,0.08261074248107589,0.0024783222744322766,-2.036606113928501e-05,sub-2316147,recon-all_run_1
0,1,CAN,7.113154276675648,0.060373712908360896,0.001811211387250827,-1.4883956872545778e-05,sub-1072930,recon-all_run_1
0,1,CAN,8.022953142788674,0.072002944001549,0.00216008832004647,-1.7750916112150696e-05,sub-1455277,recon-all_run_1
0,1,CAN,7.186338974436124,0.06222156033682688,0.0018666468101048064,-1.5339507477393926e-05,sub-1232770,recon-all_run_1
0,1,CAN,7.6680131897661425,0.06344080845360692,0.0019032242536082076,-1.564008922916778e-05,sub-4364423,recon-all_run_1
0,1,CAN,8.790385855502553,0.08046503318904198,0.0024139509956712596,-1.9837078523752838e-05,sub-1838053,recon-all_run_1
0,1,CAN,9.33592390053802,0.07774284614863163,0.002332285384458949,-1.9165976606102523e-05,sub-1005469,recon-all_run_1
0,1,CAN,7.4173882942067255,0.061184124845782256,0.0018355237453734677,-1.508374806882162e-05,sub-1021576,recon-all_run_1
0,1,CAN,8.057250294486682,0.06621261955921584,0.001986378586776475,-1.632342498851302e-05,sub-4656152,recon-all_run_1
0,1,CAN,8.248385676940282,0.06429669881582653,0.001928900964474796,-1.5851092240664527e-05,sub-1027606,recon-all_run_1
0,1,CAN,8.22483054359754,0.07378615686489579,0.0022135847059468732,-1.81905323304361e-05,sub-1193159,recon-all_run_1
0,1,CAN,6.785758677456114,0.07767958168406991,0.0023303874505220972,-1.9150379991007296e-05,sub-1190941,recon-all_run_1
0,1,CAN,7.156184311972724,0.0785767039710058,0.0023573011191301736,-1.9371547926271122e-05,sub-4245899,recon-all_run_1
0,1,CAN,8.35015352666378,0.09342992138988321,0.0028028976416964962,-2.303331787268271e-05,sub-1006569,recon-all_run_1
0,1,CAN,8.870574683348337,0.07205238002858436,0.0021615714008575305,-1.7763103596718046e-05,sub-1000394,recon-all_run_1
0,1,CAN,7.437538408041,0.06772080405710335,0.0020316241217131,-1.6695238348020535e-05,sub-1037070,recon-all_run_1
0,1,CAN,6.932347695827485,0.06334235425370809,0.0019002706276112426,-1.561581727379807e-05,sub-1112423,recon-all_run_1
0,1,CAN,7.974149269461631,0.058664895045503145,0.0017599468513650944,-1.4462681285065909e-05,sub-1081696,recon-all_run_1
0,1,CAN,7.724879408081373,0.08730952657242393,0.002619285797172718,-2.1524454360440428e-05,sub-1086009,recon-all_run_1
0,1,CAN,9.363693063325352,0.09725025524031009,0.0029175076572093028,-2.3975146385942925e-05,sub-1127906,recon-all_run_1
0,1,CAN,16.67019514163335,0.13646811135573356,0.004094043340672007,-3.3643540972535136e-05,sub-1009760,recon-all_run_1
0,1,CAN,9.024939495788681,0.07475725809607939,0.002242717742882382,-1.842993832598506e-05,sub-1000083,recon-all_run_1
0,1,CAN,11.05173137333658,0.09016556489412089,0.002704966946823627,-2.222855469084414e-05,sub-1044475,recon-all_run_1
0,1,CAN,7.584536447193887,0.06717142234914338,0.0020151426704743012,-1.6559799044159047e-05,sub-3522877,recon-all_run_1
0,1,CAN,7.296486470037037,0.06192631425478249,0.0018577894276434748,-1.5266720336430657e-05,sub-1530211,recon-all_run_1
0,1,CAN,8.636339271929529,0.07414580370345723,0.002224374111103717,-1.827919621702895e-05,sub-1518902,recon-all_run_1
0,1,CAN,8.055742080277867,0.08244365729927428,0.0024733097189782284,-2.032486955903963e-05,sub-1100101,recon-all_run_1
0,1,CAN,6.269776274694337,0.06755472641109417,0.002026641792332825,-1.6654295155998428e-05,sub-3875050,recon-all_run_1
0,1,CAN,8.04650714914004,0.06235147112792458,0.0018705441338377374,-1.5371534439441323e-05,sub-1792032,recon-all_run_1
0,1,CAN,9.278480246928003,0.05023791432979302,0.0015071374298937905,-1.238517417979999e-05,sub-3553027,recon-all_run_1
0,1,CAN,9.162741732729806,0.07500778238521974,0.0022502334715565923,-1.8491700184506993e-05,sub-4451351,recon-all_run_1
0,1,CAN,9.80139077252812,0.08297482555569782,0.0024892447666709345,-2.0455818693022382e-05,sub-1554964,recon-all_run_1
0,1,CAN,8.260907331705093,0.07574503192274076,0.002272350957682223,-1.8673454623519595e-05,sub-1406980,recon-all_run_1
0,1,CAN,7.293306669129266,0.053917813913707584,0.0016175344174112277,-1.3292381374186382e-05,sub-1061245,recon-all_run_1
0,1,CAN,6.168081316418118,0.06621746977720988,0.0019865240933162965,-1.6324620714797993e-05,sub-1000537,recon-all_run_1
0,1,CAN,9.288903981645902,0.0771328095585583,0.002313984286756749,-1.9015584028605947e-05,sub-4246203,recon-all_run_1
0,1,CAN,8.182667058308919,0.09185692405352389,0.0027557077216057166,-2.2645526176807746e-05,sub-1000347,recon-all_run_1
0,1,CAN,7.939518863889906,0.061472799329814816,0.0018441839798944443,-1.5154915110959092e-05,sub-1282100,recon-all_run_1
0,1,CAN,10.126240042249362,0.08446050094459043,0.002533815028337713,-2.0822082872408607e-05,sub-1762288,recon-all_run_1
0,1.5,CAN,8.954398253626294,0.10427715651477547,0.003128314695443264,-2.5707491316849028e-05,sub-1473014,recon-all_run_1
0,1.5,CAN,7.266614806916978,0.1142444342405358,0.0034273330272160743,-2.8164728492771637e-05,sub-1050772,recon-all_run_1
0,1.5,CAN,8.652633852230178,0.10804524290926631,0.00324135728727799,-2.6636439242790845e-05,sub-1185456,recon-all_run_1
