,label,dice,cohort,subject_id
0,0.0,0.9945345540396759,NC,sub-0128
1,1025.0,0.8330346140920802,NC,sub-0128
2,1026.0,0.8313647101580955,NC,sub-0128
3,2.0,0.9326915705665254,NC,sub-0128
4,1028.0,0.8024750020659449,NC,sub-0128
5,4.0,0.9439052957416548,NC,sub-0128
6,1029.0,0.7725573945541911,NC,sub-0128
7,7.0,0.8584059978811833,NC,sub-0128
8,8.0,0.8512928449131378,NC,sub-0128
9,1024.0,0.8397187799595214,NC,sub-0128
10,10.0,0.9332697807435653,NC,sub-0128
11,11.0,0.8867308633915456,NC,sub-0128
12,12.0,0.9159333264313075,NC,sub-0128
13,13.0,0.46074173070497826,NC,sub-0128
14,14.0,0.9143760642179518,NC,sub-0128
15,15.0,0.8929597701149425,NC,sub-0128
16,16.0,0.5127552513018547,NC,sub-0128
17,17.0,0.8489677151170847,NC,sub-0128
18,18.0,0.8550621669626999,NC,sub-0128
19,1035.0,0.876487976352161,NC,sub-0128
20,1018.0,0.7490464290411679,NC,sub-0128
21,24.0,0.7646766169154229,NC,sub-0128
22,26.0,0.7989949748743719,NC,sub-0128
23,5.0,0.8611251900658895,NC,sub-0128
24,28.0,0.7554854635216676,NC,sub-0128
25,30.0,0.023255813953488372,NC,sub-0128
26,31.0,0.582911748173131,NC,sub-0128
27,41.0,0.937093819303828,NC,sub-0128
28,42.0,0.3333333333333333,NC,sub-0128
29,43.0,0.9468758326671995,NC,sub-0128
30,44.0,0.879980563654033,NC,sub-0128
31,46.0,0.8631448161612443,NC,sub-0128
32,47.0,0.7144390511514747,NC,sub-0128
33,1027.0,0.7488359788359789,NC,sub-0128
34,49.0,0.8704036224529628,NC,sub-0128
35,50.0,0.8312683403977829,NC,sub-0128
36,51.0,0.91552634414395,NC,sub-0128
37,52.0,0.5216129032258064,NC,sub-0128
38,53.0,0.8697208303507517,NC,sub-0128
39,54.0,0.8635572572224156,NC,sub-0128
40,58.0,0.7425227568270482,NC,sub-0128
41,60.0,0.4457342915054358,NC,sub-0128
