,label,dice,cohort,subject_id
0,0.0,0.9979142148779006,ET,sub-0081
1,1025.0,0.8746826554313185,ET,sub-0081
2,2.0,0.9701731977484057,ET,sub-0081
3,1026.0,0.8263823064770932,ET,sub-0081
4,4.0,0.9382955771305286,ET,sub-0081
5,1028.0,0.8694649775390393,ET,sub-0081
6,1024.0,0.8849408416953721,ET,sub-0081
7,7.0,0.8721047738388779,ET,sub-0081
8,8.0,0.9226235198256066,ET,sub-0081
9,1029.0,0.8759572013007448,ET,sub-0081
10,10.0,0.9521473379443461,ET,sub-0081
11,11.0,0.890733221877239,ET,sub-0081
12,12.0,0.9195804195804196,ET,sub-0081
13,13.0,0.9018259426132321,ET,sub-0081
14,14.0,0.9505766062602965,ET,sub-0081
15,15.0,0.8774163130598774,ET,sub-0081
16,16.0,0.9366487410162336,ET,sub-0081
17,17.0,0.9094240070350286,ET,sub-0081
18,18.0,0.8678800134816312,ET,sub-0081
19,1035.0,0.9068036566620824,ET,sub-0081
20,1018.0,0.8359323158593231,ET,sub-0081
21,24.0,0.8890013495276653,ET,sub-0081
22,26.0,0.7457446808510638,ET,sub-0081
23,5.0,0.8294051627384961,ET,sub-0081
24,28.0,0.881968524939984,ET,sub-0081
25,30.0,0.034482758620689655,ET,sub-0081
26,31.0,0.6517632241813602,ET,sub-0081
27,41.0,0.9667503293792652,ET,sub-0081
28,42.0,0.25,ET,sub-0081
29,43.0,0.9427791771620487,ET,sub-0081
30,44.0,0.8755924170616114,ET,sub-0081
31,46.0,0.8948989329400537,ET,sub-0081
32,47.0,0.9304150467156553,ET,sub-0081
33,1027.0,0.8207571733583294,ET,sub-0081
34,49.0,0.9386231229999179,ET,sub-0081
35,50.0,0.8966599698643898,ET,sub-0081
36,51.0,0.9184793867826807,ET,sub-0081
37,52.0,0.8758637709772952,ET,sub-0081
38,53.0,0.9194189392901192,ET,sub-0081
39,54.0,0.8878965198644903,ET,sub-0081
40,58.0,0.81985670419652,ET,sub-0081
41,60.0,0.8677241379310345,ET,sub-0081
42,62.0,0.04,ET,sub-0081
43,63.0,0.7421080791867308,ET,sub-0081
44,1030.0,0.8804512187745721,ET,sub-0081
45,1031.0,0.8522338425948238,ET,sub-0081
46,77.0,0.6880605707629587,ET,sub-0081
47,80.0,0.5,ET,sub-0081
48,1034.0,0.8539733763614361,ET,sub-0081
49,85.0,0.007751937984496124,ET,sub-0081
50,251.0,0.0020242914979757085,ET,sub-0081
51,252.0,0.003355704697986577,ET,sub-0081
52,253.0,0.003703703703703704,ET,sub-0081
53,254.0,0.0013477088948787063,ET,sub-0081
54,255.0,0.0017094017094017094,ET,sub-0081
55,1009.0,0.8536493426942469,ET,sub-0081
56,1016.0,0.8414096916299559,ET,sub-0081
57,1003.0,0.8462507409602845,ET,sub-0081
58,1015.0,0.8622983178853416,ET,sub-0081
59,1006.0,0.7475553268142049,ET,sub-0081
60,1007.0,0.8522529827406463,ET,sub-0081
61,2000.0,0.0019342359767891683,ET,sub-0081
62,1008.0,0.8512720156555773,ET,sub-0081
63,2002.0,0.7684182015167931,ET,sub-0081
64,2003.0,0.7914433726330833,ET,sub-0081
65,2005.0,0.7885538461538462,ET,sub-0081
66,2006.0,0.7870919881305638,ET,sub-0081
67,2007.0,0.8481709872477998,ET,sub-0081
68,2008.0,0.8572113965160909,ET,sub-0081
69,2009.0,0.8485423564564322,ET,sub-0081
70,2010.0,0.8368966277275733,ET,sub-0081
71,2011.0,0.8386767408617521,ET,sub-0081
72,2012.0,0.8643303997455201,ET,sub-0081
73,2013.0,0.8714373020723374,ET,sub-0081
74,2014.0,0.8247726399385167,ET,sub-0081
75,2015.0,0.879067151263413,ET,sub-0081
76,2016.0,0.8663471778487752,ET,sub-0081
