,epoch,compute_time,train_loss,valid_loss
0,0.0,1.1060763279596963,0.3008447468280792,0.49265987816311063
1,1.0,1.0729140162467956,0.28507761359214784,0.4947198232014974
2,2.0,1.0746289094289143,0.27966426610946654,0.4959596764473688
3,3.0,1.0744909167289733,0.27099395394325254,0.49503426608585177
4,4.0,1.0756601492563884,0.2604059875011444,0.4908756329899743
5,5.0,1.076349631945292,0.2343824326992035,0.47991578635715304
6,6.0,1.0741260965665183,0.25571706891059875,0.4858518100920178
7,7.0,1.1237167954444884,0.22407188415527343,0.4678585557710557
8,8.0,1.0913585821787517,0.214192533493042,0.4638156351589021
9,9.0,1.0833808819452921,0.20670787692070008,0.45320106120336623
10,10.0,1.0844459970792135,0.1970684826374054,0.43711287350881667
11,11.0,1.0731183330217997,0.1927577793598175,0.44872553859438213
12,12.0,1.0825722336769104,0.1877991795539856,0.4264122588293893
13,13.0,1.0729488531748455,0.18425699472427368,0.30018618277141024
14,14.0,1.0809223850568135,0.17704246640205384,0.40677073455992196
15,15.0,1.0726125558217368,0.16706022024154663,0.4045648007165818
16,16.0,1.0838061968485515,0.17822960019111633,0.3952190052895319
17,17.0,1.0761077006657918,0.12659772634506225,0.3819149619057065
18,18.0,1.0763286312421163,0.11006231307983398,0.35176786922273184
19,19.0,1.073042913277944,0.11157701015472413,0.36460018441790626
