,epoch,compute_time,train_loss,valid_loss
0,0.0,2.5587096134821574,0.30254467129707335,0.4962813797451201
1,1.0,2.44016254345576,0.27828905582427976,0.49497571729478385
2,2.0,2.489361023902893,0.2711034417152405,0.48673453217460994
3,3.0,2.4475709478060406,0.2286427676677704,0.48059117510205224
4,4.0,2.4511377453804015,0.24095551967620848,0.44767991701761883
5,5.0,2.472386121749878,0.20652270317077637,0.4661310797645932
6,6.0,2.4777088801066083,0.2058600127696991,0.44350084520521615
7,7.0,2.4750585635503133,0.2022783041000366,0.4673188158443996
8,8.0,2.474405304590861,0.19918422698974608,0.4717692392213004
9,9.0,2.4472989519437154,0.2040296673774719,0.4342594998223441
10,10.0,2.4458311080932615,0.18427639603614807,0.4295180156117394
11,11.0,2.441890263557434,0.16416810154914857,0.431594417208717
12,12.0,2.4515451510747273,0.13144786953926085,0.4670043048404512
13,13.0,2.4444565693537395,0.1268096685409546,0.42314342373893377
14,14.0,2.478608425458272,0.11828933954238892,0.4482059762591407
15,15.0,2.4471506476402283,0.10179994702339172,0.4311419952483404
16,16.0,2.4695595105489097,0.12441184520721435,0.40325309265227544
17,17.0,2.4594332695007326,0.09391376972198487,0.3554875197864714
18,18.0,2.477945844332377,0.0887238085269928,0.4136153828530085
19,19.0,2.4459301074345907,0.08569194078445434,0.3867881241298857
