timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1611368249.800205;unet_predict;0.2511622905731201;5825790.0;625425.0;4353993.0;765440.0
1611368250.1168342;unet_predict;0.19271087646484375;4151112.0;509093.0;3335258.0;299255.0
1611368250.3824341;unet_predict;0.24545884132385254;5501450.0;589537.0;4123036.0;766172.0
1611368250.698727;unet_predict;0.2452530860900879;5485703.0;601378.0;3922842.0;943113.0
1611368251.0165606;unet_predict;0.23510479927062988;5181078.0;594176.0;4038625.0;541258.0
1611368251.3245745;unet_predict;0.23724651336669922;5239245.0;583189.0;3955922.0;680235.0
1611368251.6290567;unet_predict;0.2189018726348877;4641102.0;557982.0;3656424.0;418456.0
1611368251.9139318;unet_predict;0.21915817260742188;4750782.0;576048.0;3645559.0;533019.0
1611368252.2048311;unet_predict;0.22614049911499023;4636463.0;577025.0;3581900.0;455932.0
1611368252.4995127;unet_predict;0.2313222885131836;5222399.0;606383.0;3943471.0;679502.0
