,epoch,compute_time,brand,hz_advertised,hz_actual,cpu_arch,cpu_count,python_version,gpu_device,model,input_size,init_features,n_channels,FLOPs,n_parameters
0,0.0,0.09846081733703613,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
1,1.0,0.0004580060640970866,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
2,2.0,0.0007910569508870443,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
3,3.0,0.0007430672645568848,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
4,4.0,0.0007468342781066894,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
5,5.0,0.0007838805516560873,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
6,6.0,0.0007807374000549317,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
7,7.0,0.0007799228032430013,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
8,8.0,0.0007741570472717286,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
9,9.0,0.0007768313090006511,Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,2.2000 GHz,1.7988 GHz,X86_64,24,3.7.4.final.0 (64 bit),Tesla P100-PCIE-12GB,unet,512,64,1,192.81 GMac,31.04 M
