timestamp;tag;duration;dram_0;dram_1
1612992638.6647573;predict;2.1887640953063965;12488212.0;15327831.0
1612992640.9434307;predict;2.1879220008850098;12517665.0;15390760.0
1612992643.2622175;predict;2.2147440910339355;12651325.0;15462547.0
1612992645.5699437;predict;2.1676135063171387;12377226.0;15131532.0
1612992647.8349488;predict;2.2200798988342285;12665860.0;15403566.0
1612992650.1499383;predict;2.1846652030944824;12497514.0;15339749.0
1612992652.4383616;predict;2.2725656032562256;12962696.0;15766299.0
1612992654.8061004;predict;2.213839292526245;12608149.0;15389291.0
1612992657.1131568;predict;2.2294809818267822;12702305.0;15415806.0
1612992659.4380243;predict;2.2695553302764893;12953516.0;15971028.0
1612993270.7283976;predict;5.902334451675415;33777045.0;38155262.0
1612993276.680217;predict;0.02054429054260254;113985.0;123961.0
1612993276.732438;predict;0.01962423324584961;108126.0;123976.0
1612993276.7623057;predict;0.03792905807495117;218806.0;223563.0
1612993276.808213;predict;0.03962874412536621;228628.0;224313.0
1612993276.8538826;predict;0.04304051399230957;253291.0;265409.0
1612993276.9032292;predict;0.0427241325378418;241403.0;259825.0
1612993276.9522686;predict;0.04259634017944336;239858.0;254118.0
1612993277.0008297;predict;0.042536258697509766;246239.0;252588.0
1612993277.0491946;predict;0.04276680946350098;237885.0;257928.0
