timestamp;tag;duration;dram_0;dram_1
1612993745.1372194;predict;5.30645751953125;31135607.0;34827757.0
1612993750.5446062;predict;0.019733667373657227;118590.0;118055.0
1612993750.5876095;predict;0.026320934295654297;152725.0;157009.0
1612993750.6209648;predict;0.04163384437561035;249773.0;256719.0
1612993750.6686616;predict;0.04303741455078125;254485.0;260100.0
1612993750.717797;predict;0.0425565242767334;245550.0;254010.0
1612993750.7663567;predict;0.042536020278930664;241189.0;251471.0
1612993750.8149016;predict;0.04243659973144531;248151.0;258402.0
1612993750.8633652;predict;0.04268527030944824;255280.0;257255.0
1612993750.9123197;predict;0.04208183288574219;246942.0;252114.0
