timestamp;tag;duration;package_0;dram_0;core_0;uncore_0
1611445410.2590547;predict;0.02309250831604004;332335.0;58716.0;233276.0;27649.0
1611445410.2850122;predict;0.05158495903015137;991697.0;140258.0;539672.0;272217.0
1611445410.3376346;predict;0.009550333023071289;168029.0;17883.0;107544.0;39245.0
1611445410.3512225;predict;0.05144548416137695;1155026.0;115783.0;762327.0;232910.0
1611445410.4033937;predict;0.02036428451538086;397521.0;71472.0;226806.0;95093.0
1611445410.4269452;predict;0.03859591484069824;615904.0;112548.0;393005.0;110656.0
1611445410.4664514;predict;0.030875444412231445;410583.0;66101.0;253174.0;68542.0
1611445410.500648;predict;0.11602497100830078;2284784.0;264892.0;1744625.0;205383.0
1611445410.6177344;predict;0.01640796661376953;307799.0;39429.0;255004.0;19348.0
1611445410.6362398;predict;0.0636289119720459;1534847.0;158019.0;1043759.0;325378.0
1611445410.7025588;predict;0.10063791275024414;1982722.0;261352.0;1232113.0;478087.0
1611445410.8059561;predict;0.560391902923584;12314665.0;1416928.0;9117896.0;1701045.0
1611445411.3673604;predict;0.13578557968139648;2831291.0;362487.0;2121638.0;332396.0
1611445411.506239;predict;0.8700616359710693;18557874.0;2259455.0;13851221.0;2355218.0
1611445412.3782618;predict;0.028267621994018555;673521.0;66101.0;474608.0;129516.0
1611445412.4085069;predict;0.23607110977172852;4744433.0;622435.0;3311576.0;769285.0
1611445412.6456697;predict;0.278393030166626;5196154.0;768858.0;3481742.0;938169.0
1611445412.926271;predict;2.0629172325134277;56937232.0;5045397.0;43800731.0;7507183.0
