,label,dice,cohort,subject_id
0,0.0,0.9989810487064432,NC,sub-0107
1,1024.0,0.9250945273631841,NC,sub-0107
2,2.0,0.9735698620790487,NC,sub-0107
3,1025.0,0.9137356694786934,NC,sub-0107
4,1028.0,0.9311290395685083,NC,sub-0107
5,1029.0,0.9097312399165781,NC,sub-0107
6,1026.0,0.8648046157880933,NC,sub-0107
7,7.0,0.9201465940420953,NC,sub-0107
8,8.0,0.9440106962309449,NC,sub-0107
9,4.0,0.9552896202110862,NC,sub-0107
10,10.0,0.91189681724846,NC,sub-0107
11,11.0,0.9297768878718535,NC,sub-0107
12,12.0,0.9360631475086334,NC,sub-0107
13,13.0,0.8925222959067002,NC,sub-0107
14,14.0,0.9084175084175085,NC,sub-0107
15,15.0,0.9313492063492064,NC,sub-0107
16,16.0,0.9569415507314559,NC,sub-0107
17,17.0,0.9043258223882396,NC,sub-0107
18,18.0,0.8804780876494024,NC,sub-0107
19,1035.0,0.9366789280084078,NC,sub-0107
20,1018.0,0.8956577266922094,NC,sub-0107
21,24.0,0.8590929106120652,NC,sub-0107
22,26.0,0.8103174603174603,NC,sub-0107
23,5.0,0.8019417475728156,NC,sub-0107
24,28.0,0.8478260869565217,NC,sub-0107
25,30.0,0.06666666666666667,NC,sub-0107
26,31.0,0.6228775692582663,NC,sub-0107
27,41.0,0.9706788033654611,NC,sub-0107
28,42.0,0.3333333333333333,NC,sub-0107
29,43.0,0.9264006342494715,NC,sub-0107
30,44.0,0.8593073593073594,NC,sub-0107
31,46.0,0.91684599865501,NC,sub-0107
32,47.0,0.9374883501908116,NC,sub-0107
33,1027.0,0.8838879241563805,NC,sub-0107
34,49.0,0.938673418972332,NC,sub-0107
35,50.0,0.9224762175209428,NC,sub-0107
36,51.0,0.9403245686113394,NC,sub-0107
37,52.0,0.8923415708343528,NC,sub-0107
38,53.0,0.8988480921526278,NC,sub-0107
39,54.0,0.8791718170580964,NC,sub-0107
40,58.0,0.8520667150108775,NC,sub-0107
41,60.0,0.8789847227234452,NC,sub-0107
42,62.0,0.14285714285714285,NC,sub-0107
43,63.0,0.6081474296799224,NC,sub-0107
44,1030.0,0.9183218993570633,NC,sub-0107
45,1031.0,0.9130226083617338,NC,sub-0107
46,77.0,0.5731778425655977,NC,sub-0107
47,1034.0,0.8762527233115468,NC,sub-0107
48,85.0,0.010309278350515464,NC,sub-0107
49,251.0,0.0009199632014719411,NC,sub-0107
50,252.0,0.001834862385321101,NC,sub-0107
51,253.0,0.0013054830287206266,NC,sub-0107
52,254.0,0.0020408163265306124,NC,sub-0107
53,255.0,0.0010626992561105207,NC,sub-0107
54,1016.0,0.842989243253444,NC,sub-0107
55,1000.0,0.0024752475247524753,NC,sub-0107
56,1003.0,0.9284199363732768,NC,sub-0107
57,1015.0,0.8771953405017922,NC,sub-0107
58,1006.0,0.7869042110134197,NC,sub-0107
59,1007.0,0.8726550565230675,NC,sub-0107
60,2000.0,0.002770083102493075,NC,sub-0107
61,1008.0,0.9072205306655068,NC,sub-0107
62,2002.0,0.8676900584795322,NC,sub-0107
63,2003.0,0.9290919691007142,NC,sub-0107
64,2005.0,0.8397959183673469,NC,sub-0107
65,2006.0,0.7968541722207412,NC,sub-0107
66,2007.0,0.8861413889753971,NC,sub-0107
67,2008.0,0.9123350545037292,NC,sub-0107
68,2009.0,0.8779920066757433,NC,sub-0107
69,2010.0,0.8775201612903226,NC,sub-0107
70,2011.0,0.874367324518382,NC,sub-0107
71,2012.0,0.8344282160852096,NC,sub-0107
72,2013.0,0.8356007543103449,NC,sub-0107
73,2014.0,0.8640638019283419,NC,sub-0107
74,2015.0,0.9117376350336676,NC,sub-0107
75,2016.0,0.8355864811133201,NC,sub-0107
76,2017.0,0.9195973154362416,NC,sub-0107
77,2018.0,0.8343210852100619,NC,sub-0107
78,2019.0,0.8466337405770731,NC,sub-0107
79,2020.0,0.8637543913242707,NC,sub-0107
80,2021.0,0.7682374643635754,NC,sub-0107
81,2022.0,0.9188517657009939,NC,sub-0107
82,2023.0,0.8985919712402636,NC,sub-0107
83,2024.0,0.9141664600380197,NC,sub-0107
84,2025.0,0.8824538625614393,NC,sub-0107
85,2026.0,0.8627938085228358,NC,sub-0107
86,2027.0,0.8958177558446737,NC,sub-0107
87,2028.0,0.9230696280560666,NC,sub-0107
88,2029.0,0.882483270030747,NC,sub-0107
89,2030.0,0.9257628074131492,NC,sub-0107
90,2031.0,0.9005442108942034,NC,sub-0107
91,1005.0,0.8070950637545764,NC,sub-0107
92,1002.0,0.8639567284051795,NC,sub-0107
93,2034.0,0.8872491145218417,NC,sub-0107
94,2035.0,0.9254782608695652,NC,sub-0107
95,1011.0,0.869389746318964,NC,sub-0107
96,1013.0,0.8791685030116057,NC,sub-0107
